iter	Passed	Remaining
273	696	1846
274	698	1842
275	700	1838
276	702	1834
277	704	1829
278	706	1825
279	708	1821
280	710	1817
281	712	1815
282	715	1812
283	717	1808
284	719	1804
285	721	1800
286	722	1796
287	724	1791
288	726	1787
289	728	1783
290	729	1777
291	732	1776
292	734	1772
293	736	1768
294	738	1764
295	739	1759
296	741	1755
297	743	1751
298	745	1747
299	747	1743
300	749	1739
301	750	1735
302	752	1731
303	754	1727
304	756	1723
305	758	1719
306	759	1715
307	761	1711
308	763	1707
309	765	1703
310	767	1699
311	768	1695
312	770	1691
313	772	1687
314	774	1683
315	776	1679
316	777	1676
317	779	1672
318	781	1668
319	783	1664
320	785	1660
321	786	1656
322	788	1652
323	790	1648
324	792	1644
325	793	1641
326	795	1637
327	797	1633
328	799	1629
329	800	1625
330	802	1622
331	804	1618
332	806	1614
333	807	1611
334	809	1607
335	811	1603
336	813	1600
337	815	1596
338	816	1592
339	818	1589
340	820	1585
341	822	1582
342	824	1578
343	826	1575
344	827	1571
345	829	1568
346	831	1564
347	833	1561
348	835	1557
349	836	1554
350	838	1551
351	840	1548
352	842	1544
353	844	1541
354	846	1538
355	848	1535
356	850	1532
357	852	1529
358	854	1525
359	857	1525
360	860	1522
361	862	1519
362	864	1516
363	866	1513
364	868	1510
365	870	1508
366	873	1506
367	875	1503
368	877	1499
369	879	1496
370	880	1493
371	882	1490
372	884	1487
373	887	1484
374	889	1482
375	892	1480
376	894	1477
377	896	1474
378	898	1472
379	902	1472
380	904	1470
381	906	1467
382	908	1464
383	910	1461
384	913	1459
385	916	1457
386	919	1455
387	921	1452
388	923	1450
389	925	1447
390	928	1445
391	930	1442
392	933	1441
393	935	1439
394	938	1436
395	940	1433
396	942	1430
397	944	1428
398	948	1428
399	950	1426
400	952	1423
401	955	1420
402	957	1418
403	959	1415
404	963	1415
405	965	1412
406	967	1410
407	970	1407
408	972	1404
409	976	1404
410	980	1405
411	982	1402
412	985	1400
413	988	1398
414	990	1396
415	995	1396
416	997	1394
417	999	1391
418	1001	1389
419	1004	1386
420	1008	1386
421	1010	1384
422	1013	1382
423	1016	1381
424	1020	1380
425	1026	1383
426	1029	1380
427	1031	1378
428	1034	1376
429	1040	1379
430	1043	1377
431	1045	1375
432	1048	1372
433	1051	1370
434	1054	1369
435	1057	1367
436	1059	1364
437	1061	1362
438	1064	1359
439	1066	1357
440	1068	1354
441	1071	1352
442	1073	1349
443	1075	1346
444	1077	1343
445	1078	1340
446	1080	1336
447	1083	1335
448	1085	1332
449	1087	1329
450	1089	1326
451	1091	1323
452	1093	1319
453	1095	1316
454	1097	1314
455	1099	1311
456	1101	1308
457	1103	1305
458	1105	1302
459	1106	1299
460	1108	1296
461	1110	1293
462	1112	1290
463	1114	1287
464	1116	1284
465	1118	1281
466	1120	1278
467	1122	1275
468	1124	1272
469	1126	1269
470	1128	1267
471	1130	1264
472	1132	1261
473	1134	1258
474	1136	1255
475	1138	1253
476	1140	1249
477	1141	1246
478	1144	1244
479	1146	1241
480	1148	1238
481	1149	1235
482	1151	1232
483	1153	1230
484	1155	1227
485	1157	1224
486	1160	1222
487	1162	1219
488	1164	1216
489	1165	1213
490	1167	1210
491	1169	1207
492	1171	1204
493	1173	1201
494	1175	1199
495	1177	1196
496	1179	1193
497	1181	1190
498	1183	1187
499	1184	1184
500	1186	1182
501	1188	1179
502	1190	1176
503	1192	1173
504	1194	1171
505	1196	1168
506	1198	1165
507	1200	1162
508	1202	1159
509	1204	1156
510	1206	1154
511	1208	1151
512	1210	1149
513	1212	1146
514	1213	1142
515	1215	1139
516	1217	1137
517	1218	1134
518	1220	1131
519	1222	1128
520	1224	1126
521	1226	1123
522	1228	1120
523	1230	1118
524	1232	1115
525	1235	1113
526	1237	1110
527	1239	1107
528	1241	1105
529	1243	1102
530	1245	1099
531	1247	1097
532	1249	1094
533	1251	1092
534	1253	1089
535	1255	1087
536	1257	1084
537	1259	1081
538	1261	1078
539	1263	1075
540	1265	1073
541	1267	1070
542	1269	1068
543	1271	1065
544	1273	1063
545	1275	1060
546	1277	1057
547	1278	1054
548	1280	1052
549	1283	1049
550	1285	1047
551	1286	1044
552	1288	1041
553	1290	1039
554	1292	1036
555	1294	1033
556	1296	1031
557	1298	1028
558	1301	1026
559	1303	1024
560	1305	1021
561	1307	1018
562	1309	1016
563	1311	1013
564	1313	1011
565	1315	1008
566	1317	1005
567	1318	1003
568	1320	1000
569	1322	997
570	1324	994
571	1326	992
572	1328	989
573	1330	987
574	1331	984
575	1333	981
576	1335	978
577	1337	976
578	1338	973
579	1340	970
580	1342	968
581	1344	965
582	1345	962
583	1347	960
584	1349	957
585	1351	954
586	1353	952
587	1354	949
588	1356	946
589	1358	944
590	1360	941
591	1362	938
592	1364	936
593	1366	933
594	1367	931
595	1369	928
596	1371	925
597	1373	923
598	1375	920
599	1377	918
600	1378	915
601	1380	912
602	1382	910
603	1384	907
604	1386	904
605	1387	902
606	1389	899
607	1391	897
608	1393	894
609	1395	891
610	1397	889
611	1398	886
612	1400	884
613	1402	881
614	1404	879
615	1406	876
616	1408	874
617	1410	871
618	1412	869
619	1414	866
620	1415	864
621	1417	861
622	1419	858
623	1421	856
624	1423	854
625	1425	851
626	1427	849
627	1429	846
628	1431	844
629	1433	841
630	1435	839
631	1437	836
632	1438	834
633	1440	831
634	1442	829
635	1444	826
636	1446	824
637	1448	821
638	1449	819
639	1451	816
640	1453	814
641	1455	811
642	1457	808
643	1458	806
644	1460	803
645	1462	801
646	1463	798
647	1465	796
648	1467	793
649	1469	791
650	1471	788
651	1472	786
652	1474	783
653	1476	781
654	1478	778
655	1479	776
656	1481	773
657	1483	771
658	1485	768
659	1487	766
660	1488	763
661	1490	761
662	1492	758
663	1494	756
664	1495	753
665	1497	751
666	1499	748
667	1501	746
668	1503	743
669	1505	741
670	1506	738
671	1508	736
672	1510	733
673	1512	731
674	1514	729
675	1516	726
676	1517	724
677	1519	721
678	1521	719
679	1523	716
680	1524	714
681	1526	711
682	1528	709
683	1530	707
684	1532	704
685	1533	702
686	1535	699
687	1537	697
688	1539	694
689	1540	692
690	1542	689
691	1544	687
692	1546	685
693	1548	682
694	1550	680
695	1551	677
696	1553	675
697	1555	672
698	1557	670
699	1559	668
700	1561	665
701	1563	663
702	1564	661
703	1566	658
704	1568	656
705	1570	653
706	1572	651
707	1574	649
708	1575	646
709	1578	644
710	1579	642
711	1581	639
712	1583	637
713	1584	634
714	1586	632
715	1588	629
716	1590	627
717	1592	625
718	1593	622
719	1595	620
720	1597	618
721	1599	615
722	1600	613
723	1602	610
724	1604	608
725	1606	606
726	1607	603
727	1609	601
728	1611	598
729	1613	596
730	1614	594
731	1616	591
732	1618	589
733	1619	587
734	1621	584
735	1623	582
736	1625	580
737	1627	577
738	1628	575
739	1630	572
740	1632	570
741	1634	568
742	1635	565
743	1637	563
744	1639	561
745	1640	558
746	1642	556
747	1644	553
748	1646	551
749	1647	549
750	1649	546
751	1651	544
752	1652	542
753	1654	539
754	1656	537
755	1658	535
756	1659	532
757	1661	530
758	1663	528
759	1665	525
760	1666	523
761	1668	521
762	1670	518
763	1672	516
764	1674	514
765	1676	511
766	1677	509
767	1679	507
768	1681	505
769	1682	502
770	1684	500
771	1686	498
772	1688	495
773	1690	493
774	1691	491
775	1693	488
776	1695	486
777	1697	484
778	1698	481
779	1700	479
780	1702	477
781	1704	475
782	1706	472
783	1707	470
784	1709	468
785	1711	465
786	1713	463
787	1714	461
788	1716	459
789	1718	456
790	1720	454
791	1721	452
792	1723	449
793	1725	447
794	1727	445
795	1728	443
796	1730	440
797	1732	438
798	1734	436
799	1736	434
800	1738	432
801	1740	429
802	1742	427
803	1744	425
804	1746	422
805	1747	420
806	1749	418
807	1751	416
808	1753	413
809	1755	411
810	1756	409
811	1758	407
812	1760	404
813	1762	402
814	1764	400
815	1766	398
816	1768	396
817	1770	393
818	1771	391
819	1773	389
820	1775	387
821	1776	384
822	1778	382
823	1780	380
824	1782	378
825	1783	375
826	1785	373
827	1787	371
828	1789	369
829	1790	366
830	1792	364
831	1794	362
832	1796	360
833	1798	357
834	1799	355
835	1801	353
836	1803	351
837	1804	348
838	1806	346
839	1808	344
840	1810	342
841	1811	340
842	1813	337
843	1815	335
844	1817	333
845	1818	331
846	1820	328
847	1822	326
848	1824	324
849	1825	322
850	1827	319
851	1829	317
852	1831	315
853	1833	313
854	1835	311
855	1836	308
856	1838	306
857	1840	304
858	1842	302
859	1844	300
860	1846	298
861	1848	295
862	1849	293
863	1851	291
864	1853	289
865	1854	286
866	1856	284
867	1858	282
868	1859	280
869	1861	278
870	1863	275
871	1864	273
872	1866	271
873	1868	269
874	1870	267
875	1871	264
876	1873	262
877	1875	260
878	1877	258
879	1878	256
880	1880	253
881	1882	251
882	1883	249
883	1885	247
884	1887	245
885	1889	243
886	1890	240
887	1892	238
888	1894	236
889	1896	234
890	1898	232
891	1899	230
892	1901	227
893	1903	225
894	1905	223
895	1907	221
896	1909	219
897	1911	217
898	1913	214
899	1915	212
900	1917	210
901	1918	208
902	1920	206
903	1922	204
904	1924	201
905	1926	199
906	1927	197
907	1929	195
908	1931	193
909	1933	191
910	1935	189
911	1936	186
912	1938	184
913	1940	182
914	1942	180
915	1944	178
916	1945	176
917	1947	173
918	1949	171
919	1950	169
920	1952	167
921	1955	165
922	1956	163
923	1958	161
924	1960	158
925	1962	156
926	1963	154
927	1965	152
928	1967	150
929	1969	148
930	1971	146
931	1973	143
932	1974	141
933	1976	139
934	1978	137
935	1980	135
936	1982	133
937	1984	131
938	1986	129
939	1988	126
940	1990	124
941	1992	122
942	1994	120
943	1996	118
944	1998	116
945	2000	114
946	2002	112
947	2004	109
948	2006	107
949	2008	105
950	2010	103
951	2012	101
952	2014	99
953	2015	97
954	2018	95
955	2020	92
956	2022	90
957	2023	88
958	2025	86
959	2027	84
960	2029	82
961	2030	80
962	2032	78
963	2034	75
964	2036	73
965	2038	71
966	2040	69
967	2042	67
968	2043	65
969	2045	63
970	2047	61
971	2049	59
972	2051	56
973	2053	54
974	2055	52
975	2056	50
976	2058	48
977	2060	46
978	2062	44
979	2064	42
980	2066	40
981	2068	37
982	2070	35
983	2071	33
984	2074	31
985	2076	29
986	2078	27
987	2080	25
988	2082	23
989	2084	21
990	2085	18
991	2088	16
992	2090	14
993	2092	12
994	2094	10
995	2096	8
996	2097	6
997	2099	4
998	2101	2
999	2103	0
